id,fullname,shortname,ttl,region,country,practicearea,productline,netcommitment,status,processingtype,approvalfy,closingfy
P167407,Zimbabwe Climate Smart Agricultural Investment Plan,Zimbabwe CSIP,"Grant Milne, Pablo Cesar Benitez Ponce, Azeb Fissha Mekonnen",Africa,Zimbabwe,Agriculture and Food,,null,Closed,,2020,
P165945,Livestock Commercialization Project,Livestock Commercialization Project,Sitaramachandra Machiraju,East Asia And Pacific,Mongolia,Agriculture and Food,,30,Active,,2020,2025
P169258,Food Safe Nutrition Secure Urban Asia,SAR Urban Food Systems,Gayatri Acharya,South Asia,South Asia,Agriculture and Food,,null,Closed,,2020,
P167786,Strengthening agriculture sector capacities for evidence-based policy making,Serbia PRIME PHRD,Svetlana Edmeades,Europe And Central Asia,Serbia,Agriculture and Food,,1.8,Active,,2020,2023
P167634,Serbia Competitive Agriculture Project (SCAP),SCAP,"Svetlana Edmeades, Olivera Jordanovic",Europe And Central Asia,Serbia,Agriculture and Food,,50,Active,,2020,2025
P164439,Agricultural Resilience and Climate Smart Agriculture,Agriculture Resilience and CSA,Ulrich K. H. M. Schmitt,Other,World,Agriculture and Food,,null,Closed,,2020,
P166279,Second Rural Economic Development Initiative (REDI II) Project,JM REDI II Project MST,Garry Charlier,Latin America And Caribbean,Jamaica,Agriculture and Food,,40,Active,,2020,2026
P169324,CO Agriculture Priority Themes ASA,CO Agriculture Priority Themes ASA,"Michael Morris, Luz Berania Diaz Rios",Latin America And Caribbean,Colombia,Agriculture and Food,,null,Closed,,2020,
P168176,"Food Prices, Food Security, and Nutrition in Bangladesh",Food Prices and Nutrition in Bangladesh,"Felipe Jr Fadullon Dizon, Md Mansur Ahmed",South Asia,Bangladesh,Agriculture and Food,,null,Closed,,2020,
P170085,,SAFANSI Roundtable 3- 2019,"Jamie Lynn Greenawalt, Bremala Malli",South Asia,South Asia,Agriculture and Food,,null,Closed,,2020,
P163533,Odisha Integrated Irrigation Project for Climate Resilient Agriculture,Climate Resilient Agriculture Project,"Ranjan Samantaray, Abel Lufafa, IJsbrand Harko de Jong",South Asia,India,Agriculture and Food,,165,Active,,2020,2026
P165289,Enterprise Development for Nutrition and Sanitation in Bihar,Enterprise Development for Nutrition,"Mohini Kak, Mio Takada, Vinay Kumar Vutukuru",South Asia,India,Agriculture and Food,,null,Closed,,2020,
P170783,Technical Assistance in support of the Livestock Sector Investment and Policy Toolkit (LSIPT),Livestock investment toolkit,Pierre Jean Gerber,Other,World,Agriculture and Food,,null,Closed,,2020,
P167945,Burkina Faso Agriculture Resilience and Competitiveness Project,Agriculture Resilience & Competitiveness,"Ernest Ruzindaza, Juvenal Nzambimana",Africa,Burkina Faso,Agriculture and Food,,200,Active,,2020,2026
P167455,Ceara Rural Sustainable Development and Competitiveness Phase II,Projeto Ceara Sao Jose IV,"Barbara Cristina Noronha Farinelli, Juliana Menezes Garrido",Latin America And Caribbean,Brazil,Agriculture and Food,,100,Active,,2020,2026
P165731,Kenya Agricultural Sector Expenditure Review,Kenya AGR PER,Ladisy Komba Chengula,Africa,Kenya,Agriculture and Food,,null,Closed,,2020,
P168940,Additional Financing to the Agriculture and Natural Resources  Landscape Management Project (SUSTENTA),Sustenta AF,"Norman Bentley Piccioni, Pedro Arlindo, Andre Rodrigues de Aquino",Africa,Mozambique,Agriculture and Food,,60,Active,,2020,
P165873,Samoa Agriculture & Fisheries Productivity and Marketing Project (SAFPROM),WS Agriculture Productivity & Marketing,"Son Thanh Vo, Cary Anne Cadman, Kara Mouyis",East Asia And Pacific,Samoa,Agriculture and Food,,19.95,Active,,2020,2025
P169053,,Agric. Observatory -- phase 2,Erick C.M. Fernandes,Other,World,Agriculture and Food,,null,Closed,,2019,
P162697,Cote d'Ivoire Agriculture Sector Update,Agriculture Sector Update,Jean-Philippe Tre,Africa,Cote d'Ivoire,Agriculture and Food,,null,Closed,,2019,
P168910,Resilient and Inclusive Urban Food Systems in Bolivia,Resilient Agriculture and Food Systems,"Garry Charlier, Julia Isabel Navarro Espinal",Latin America And Caribbean,Bolivia,Agriculture and Food,,null,Closed,,2019,
P165682,Guinea-Bissau: Unlocking Diversification to Unleash Agricultural Growth,Guinea Bissau Agriculture Sector Review,Marie Caroline Paviot,Africa,Guinea-Bissau,Agriculture and Food,,null,Closed,,2019,
P165598,Uganda Agriculture Public Expenditure Review,UG Agriculture PER,Ladisy Komba Chengula,Africa,Uganda,Agriculture and Food,,null,Closed,,2019,
P163497,,Lessons learned from the ILWAC,Abdoulaye Toure,Africa,Africa,Agriculture and Food,,null,Closed,,2019,
P170382,Conference on the Future of Work in Agriculture,Future of Work in Agriculture,Madhur Gautam,Other,World,Agriculture and Food,,null,Closed,,2019,
P168692,OGE-CSA UNFCCC Engagement - Koronivia Joint Work,OGE-CSA UNFCCC Engagement,Tobias Baedeker,Other,World,Agriculture and Food,,null,Closed,,2019,
P168385,Integrating Innovation for Rural Competitiveness in Honduras - COMRURAL II,COMRURAL II,"Augusto Garcia, Ramon Ernesto Arias Moncada",Latin America And Caribbean,Honduras,Agriculture and Food,,75,Active,,2019,2025
P168208,Agriculture Public Expenditure Review,Agriculture Public Expenditure Review,Asa Margareta G. Hoglund Giertz,Africa,Lesotho,Agriculture and Food,,null,Closed,,2019,
P167412,Tapping the potential of Bolivia’s agriculture and food systems to support inclusive and sustainable growth,Bolivia Agriculture Opportunities ASA,Luz Berania Diaz Rios,Latin America And Caribbean,Bolivia,Agriculture and Food,,null,Closed,,2019,
P165632,Strengthening Agricultural Higher Education in Africa,Agricultural Higher Education in Africa,Peter Goodman,Africa,Africa,Agriculture and Food,,null,Closed,,2019,
P165232,Climate Smart Agriculture Potentials in Lesotho,CSA in Lesotho,"Ademola Braimoh, Bobojon Yatimov",Africa,Lesotho,Agriculture and Food,,null,Closed,,2019,
P165152,Philippines Agro-food Policy,Phil ASA  Food and Agriculture,Frauke Jungbluth,East Asia And Pacific,Philippines,Agriculture and Food,,null,Closed,,2019,
P163068,OGE-Economics of Climate-Smart Agriculture,OGE- Economics of Climate-Smart Agric,Christine Heumesser,Other,World,Agriculture and Food,,null,Closed,,2019,
P169760,Scaling up Disruptive Technologies in Agriculture in Africa,Disruptive Technologies in Agriculture,"Jeehye Kim, Parmesh Shah",Africa,Africa,Agriculture and Food,,null,Closed,,2019,
P169587,The Role of Medium-scale Farms in Agricultural Transformation,Medium-scale Farms in Agriculture,Holger A. Kray,Other,Multi-Regional,Agriculture and Food,,null,Closed,,2019,
P169412,Supporting agricultural jobs in FCS countries: lessons for South Sudan,Agriculture jobs for South Sudan,"Melissa Williams, Mohammad Imtiaz Akhtar Alvi",Africa,South Sudan,Agriculture and Food,,null,Closed,,2019,
P168732,Technical Support to Mozambique’s Agri-Food System Strategy,Results-Focused Support to MASA,"Norman Bentley Piccioni, Pedro Arlindo, Aniceto Timoteo Bila",Africa,Mozambique,Agriculture and Food,,null,Closed,,2019,
P167468,Maximizing Finance for Development in Agricultural and Food System in Ethiopia,Ethiopia- MFD in Agriculture,"Vikas Choudhary, Beza Hailu Woldegiorgis",Africa,Ethiopia,Agriculture and Food,,null,Closed,,2019,
P165481,Roadmap for Resilience and Growth of Somalia's Livestock Sector,Somali Livestock Strategy Update,"Stephen Paul D'Alessandro, Esayas Nigatu Gebremeskel",Africa,Somalia,Agriculture and Food,,null,Closed,,2019,
P164367,Bangladesh Climate Smart Investment Plan,Climate Smart Investment Plan,"Manievel Sene, Tobias Baedeker",South Asia,Bangladesh,Agriculture and Food,,null,Closed,,2019,
P160021,OGE-Investing in Sustainable Livestock -- addressing the dual demand for protein rich foods and climate change mitigation,OGE-Investing in Sustainable Livestock,"Pierre Jean Gerber, Francois G. Le Gall",Other,World,Agriculture and Food,,null,Closed,,2019,
P169730,Albania: Agriculture Public Expenditure Review,Albania: Agriculture PER,Alexandra Christina Horst,Europe And Central Asia,Albania,Agriculture and Food,,null,Closed,,2019,
P168082,Assessing Alternative Models for Linking Smallholder Farmers to Markets,Linking Smallholder Farmers to Markets,Caroline Aurelie Plante,Latin America And Caribbean,Haiti,Agriculture and Food,,null,Closed,,2019,
P167991,Agriculture and Food Sector Opportunities in Regions,Agricultural Sector Opportunities,Artavazd Hakobyan,Europe And Central Asia,Russian Federation,Agriculture and Food,,null,Closed,,2019,
P165884,Digital Transformation - Opportunities for Agriculture in the South Caucasus,Agriculture Digital Transfomation,Armine Juergenliemk,Europe And Central Asia,Caucasus,Agriculture and Food,,null,Closed,,2019,
P165734,Liberia: Agriculture Public Expenditure Review,Liberia Agriculture PER,"Christopher Paul Jackson, Anuja Kar",Africa,Liberia,Agriculture and Food,,null,Closed,,2019,
P165429,Measuring Distortions to Agricultural Incentives in Malawi,Malawi Agricultural Distortions Study,Holger A. Kray,Africa,Malawi,Agriculture and Food,,null,Closed,,2019,
P165427,Closing the Potential-Performance Divide in Tanzanian Agriculture,Tanzania Ag Potential Performance Divide,"Holger A. Kray, Sarah Anne Simons",Africa,Tanzania,Agriculture and Food,,null,Closed,,2019,
P169787,Supporting the Formation of the 14th Five-Year Plan: China’s Agricultural Modernization and Transformation Toward Green Growth,Green Agriculture and 14th FYP Support,Jianwen Liu,East Asia And Pacific,China,Agriculture and Food,,null,Closed,,2019,
P158765,Myanmar Agricultural Policy Dialogue,Myanmar Agricultural Policy Dialogue,Hanane Ahmed,East Asia And Pacific,Myanmar,Agriculture and Food,,null,Closed,,2019,
P165659,Foundations for a Modern Food System in Myanmar,Foundations for a Modern Food System,Indira Janaki Ekanayake,East Asia And Pacific,Myanmar,Agriculture and Food,,null,Closed,,2019,
P165512,Ghana Cocoa Sector Development Strategy Support,Ghana Cocoa Sector Development Support,Hardwick Tchale,Africa,Ghana,Agriculture and Food,,null,Closed,,2019,
P164509,AGRICULTURAL AND LIVESTOCK TRANSFORMATION PROJECT,PIMELAN,"Daniel P. Gerber, Amadou Ba, Fatoumata Den Lamari Fadika",Africa,Niger,Agriculture and Food,,100,Active,,2019,2026
P163474,Khyber Pakhtunkhwa Irrigated-Agriculture Improvement Project,KPIIP,"Guo Li, Lixin Gu",South Asia,Pakistan,Agriculture and Food,,171,Active,,2019,2026
P163123,,Governance and Operation,Lystra N. Antoine,Other,World,Agriculture and Food,,null,Closed,,2019,
P165601,The Gambia Agriculture Engagement Note: Fostering Agriculture-Led Inclusive Growth,The Gambia Agriculture Engagement Note,"Aifa Fatimata Ndoye Niane, Remi Kini",Africa,"Gambia, The",Agriculture and Food,,null,Closed,,2019,
P164232,Leveraging Agricultural Value Chains to Enhance Tropical Tree Cover and Slow Deforestation (LEAVES),Trees and Agricultural Commodities,"Dora Nsuwa Cudjoe, Erick C.M. Fernandes",Other,World,Agriculture and Food,,null,Closed,,2019,
P168033,Egypt Agriculture Sector Dialogue,Egypt Agriculture Sector Dialogue,Sandra Broka,Middle East And North Africa,"Egypt, Arab Republic of",Agriculture and Food,,null,Closed,,2019,
P163956,Gender-based constraints and opportunities in Morocco’s agri-food value chains,Morocco – Gender and Agriculture,"David Olivier Treguer, Eva Hasiner",Middle East And North Africa,Morocco,Agriculture and Food,,null,Closed,,2019,
P163411,Morocco Digital Agriculture Diagnostic,Morocco Digital Agriculture Diagnostic,David Olivier Treguer,Middle East And North Africa,Middle East and North Africa,Agriculture and Food,,null,Closed,,2019,
P165228,Smallholder Agriculture Development Project - II,SADP-II,"Meeta Sehgal, Bobojon Yatimov",Africa,Lesotho,Agriculture and Food,,50,Active,,2019,2026
P162303,Uzbekistan Agriculture Modernization Technical Assistance,Uzbekistan Agriculture Modernization,Sergiy Zorya,Europe And Central Asia,Uzbekistan,Agriculture and Food,,null,Closed,,2019,
P166941,Accelerating Private Investment in Agriculture Program,Accelerating Private Investment in Agric,"Sandra Broka, Anatol Gobjila",Europe And Central Asia,Ukraine,Agriculture and Food,,200,Active,,2019,2025
P164336,Lowlands Livelihood Resilience Project,LLRP,"Vikas Choudhary, Esayas Nigatu Gebremeskel",Africa,Ethiopia,Agriculture and Food,,350,Active,,2019,2026
P169329,Romania Agriculture Sector Engagement Follow-up on Mountainous Regions Development and Bio-economy in the Agriculture Sector,Agriculture Sector Engagement Follow-up,Anatol Gobjila,Europe And Central Asia,Romania,Agriculture and Food,,null,Closed,,2019,
P168375,Support to Livestock Breeding Development Program,Agriculture Sector Work/Livestock,Talimjan Urazov,Europe And Central Asia,Kazakhstan,Agriculture and Food,,null,Closed,,2019,
P165855,CAR-Agriculture Recovery and Agribusiness Development Support Project (ARADSP),PRADAC,Amadou Alassane,Africa,Central African Republic,Agriculture and Food,,25,Active,,2019,2024
P165418,Support to Agricultural Sector Restructuring in Vietnam,Support to Agricultural Restructuring,Hardwick Tchale,East Asia And Pacific,Vietnam,Agriculture and Food,,null,Closed,,2019,
P169514,Rwanda - Additional Financing for the Transformation of Agriculture Sector Program 4 PforR Phase 2,PforR for PSTA 4 AF,Winston Dawes,Africa,Rwanda,Agriculture and Food,,71,Active,,2019,
P167105,SAFANSI Retrospective 2010-2018,SAFANSI Retrospective 2010-2018,"Bremala Malli, Pauline Zwaans",South Asia,South Asia,Agriculture and Food,,null,Closed,,2019,
P164656,Integrating Biodigesters for Cooking into Small Farm Activities,Biodigesters for Small Farms,"Katie Kennedy Freeman, Juha Antti Kalevi Seppala",Africa,Africa,Agriculture and Food,,null,Closed,,2019,
P164756,Agriculture Intelligence Observatory,OGE-Agriculture Intelligence Observatory,Erick C.M. Fernandes,Other,World,Agriculture and Food,,null,Closed,,2019,
P167219,Climate Resilience and Agricultural Productivity Enhancement in the Plain of Les Cayes,Climate Resilience and Ag. Productivity,Caroline Aurelie Plante,Latin America And Caribbean,Haiti,Agriculture and Food,,null,Closed,,2019,
P165966,Agro-Food Policy and Institutional Reform,Agro-Food Policy Analytics,"Jan Joost Nijhoff, Stephen Paul D'Alessandro, Francis Addeah Darko",East Asia And Pacific,Indonesia,Agriculture and Food,,null,Closed,,2019,
P164506,The Agriculture Sector Public Expenditure Review,Ag PER,Eli Weiss,East Asia And Pacific,Malaysia,Agriculture and Food,,null,Closed,,2019,
P160221,TA for Agri-food Resilience to ENSO in East Asia,Agri-food Resilience to ENSO in EAP,William R. Sutton,East Asia And Pacific,East Asia and Pacific,Agriculture and Food,,null,Closed,,2019,
P165766,Strategic Agricultural Sector Review for Job creation and Sustainable Rural Livelihood in Bhutan.,Bhutan Agricultural Sector Review,"Abimbola Adubi, Felipe Jr Fadullon Dizon",South Asia,Bhutan,Agriculture and Food,,null,Closed,,2019,
P145721,Impact Evaluation of Cote d'Ivoire Agriculture sector Support Project,Ci-Ag sector support IE,Lea Marie Rouanet,Africa,Cote d'Ivoire,Agriculture and Food,,null,Closed,,2019,
P166305,Ferghana Valley Rural Enterprise Development Project,Ferghana Valley Enterprise Development,"Melissa Brown, Dilshod Khidirov",Europe And Central Asia,Uzbekistan,Agriculture and Food,,200,Active,,2019,2026
P163742,Climate Smart Irrigated Agriculture Project,Climate Smart Irrigated Agriculture,"Seenithamby Manoharan, Andrew D. Goodland, Shyam KC",South Asia,Sri Lanka,Agriculture and Food,,125,Active,,2019,2024
P166133,Madagascar Agriculture Rural Growth and Land Management - Additional Financing,CASEF Additional Financing,"Giuseppe Fantozzi, Andre Teyssier",Africa,Madagascar,Agriculture and Food,,52,Active,,2019,
P163028,Technical Assistance to the Initiative for the Adaptation of African Agriculture to Climate Change,TA to the AAA Initiative,"David Olivier Treguer, Jean-Philippe Tre",Other,World,Agriculture and Food,,null,Closed,,2019,
P163264,Cambodia Agricultural Sector Diversification Project,Cambodia Agricultural Diversification,"Mudita Chamroeun, Sandra Broka",East Asia And Pacific,Cambodia,Agriculture and Food,,91.67,Active,,2019,2025
P160983,"Leveraging information technology to achieve better nutritional outcomes in the Chittagong Hill Tracts (CHT), Bangladesh",Leveraging IT in CHT Bangladesh,"Pushina Kunda Ng'andwe, Jamie Lynn Greenawalt",South Asia,Bangladesh,Agriculture and Food,,null,Closed,,2019,
P160540,,FS Needs Assessments,Lystra N. Antoine,Other,World,Agriculture and Food,,null,Closed,,2019,
P160945,Smallholder Agriculture Transformation and Agribusiness Revitalization Project (STAR-P),STAR-P,Adetunji A. Oredipe,Africa,Liberia,Agriculture and Food,,25,Active,,2019,2025
P165210,Zambia Climate Smart Agriculture Investment Plan,Climate Smart Agric. Investment Plan,"Alex Mwanakasale, Christine Heumesser",Africa,Zambia,Agriculture and Food,,null,Closed,,2019,
P164486,Agricultural Productivity Program for Southern Africa - Angola & Lesotho,APPSA Angola & Lesotho,"Tahira Syed, Pedro Arlindo, Bobojon Yatimov",Africa,Africa,Agriculture and Food,,50,Active,,2019,2025
P167111,SAFANSI Colombo Roundtable 2018,SAFANSI Colombo Roundtable 2018,Bremala Malli,South Asia,South Asia,Agriculture and Food,,null,Closed,,2019,
P163260,DR Resilient Agriculture and Integrated Water Resources Management,DR Resilient Agri & Water management MST,"Remi Charles Andre Trier, Marco Antonio Aguero, Soulemane Fofana",Latin America And Caribbean,Dominican Republic,Agriculture and Food,,80,Active,,2019,2024
P161246,Livestock and Dairy Development Project,Livestock Development Project,"Christian Berger, Pierre Jean Gerber, Francesca Lo Re",South Asia,Bangladesh,Agriculture and Food,,500,Active,,2019,2024
P147120,,GLOBAL FOOD SAFETY PARTNERSHIP ROLLOUT,Valentina Paskalova,Other,World,Agriculture and Food,,null,Closed,,2019,
P167939,Knowledge Exchange on Pathways to Stronger Food Systems Resilience in East and Southern Africa,Regional Food Systems Resilience Forum,"Stephen Paul D'Alessandro, Holger A. Kray",Africa,Africa,Agriculture and Food,,null,Closed,,2019,
P164863,Climate Smart Agriculture Opportunities,BZ CSA Opportunities,"Michael Morris, Julia Isabel Navarro Espinal",Latin America And Caribbean,Belize,Agriculture and Food,,null,Closed,,2019,
P163213,Overview of Global Picture of Agricultural Subsidies and the Opportunities for Moving Towards Climate Smart Subsidies,OGE-Agriculture Subsidies,Ulrich K. H. M. Schmitt,Other,World,Agriculture and Food,,null,Closed,,2019,
P160463,AP Integrated Irrigation & Agriculture Transformation Project,APIIATP,"Ranjan Samantaray, Yoro Sidibe",South Asia,India,Agriculture and Food,,172.2,Active,,2019,2026
P166945,Improving Food Availability and Access for Rural Households in Yemen and Djibouti,Food Security in Yemen and Djibouti,"Sandra Broka, Mekbib Gebretsadik Haile",Middle East And North Africa,Middle East and North Africa,Agriculture and Food,,null,Closed,,2019,
P165911,Productive Inclusion for Agricultural Competitiveness in Croatia,Agriculture Policy Dialogue in Croatia,Svetlana Edmeades,Europe And Central Asia,Croatia,Agriculture and Food,,null,Closed,,2019,
P165793,Exploring the Potential of Agriculture in the Western Balkans,Exploring the Potential of Agriculture,Svetlana Edmeades,Europe And Central Asia,Western Balkans,Agriculture and Food,,null,Closed,,2019,
P164443,Women's Economic Empowerment Rural Development Project,WEE-RDP,"Abimbola Adubi, Janamejay Singh",South Asia,Afghanistan,Agriculture and Food,,25,Active,,2019,2023
P164024,Haiti Arboreal Assessments - post- hurricane tree counting and charcoal assessment,Haiti Arboreal Assessments,"Katie Kennedy Freeman, Klas Sander",Latin America And Caribbean,Haiti,Agriculture and Food,,null,Closed,,2019,
P164541,Agriculture Sector Engagement in Romania,Agriculture Sector Engagement in Romania,Anatol Gobjila,Europe And Central Asia,Romania,Agriculture and Food,,null,Closed,,2019,
P165909,Leveraging Producer Organizations to Improve the Efficiency of Agri-Food Value Chains in Turkey,Turkey technical assistance to MoFAL,"David Tuchschneider, Mustafa Ugur Alver",Europe And Central Asia,Turkey,Agriculture and Food,,null,Closed,,2019,
P164319,Food and Nutrition Security Enhancement Project,Food and Nutrition Security Project,"Karishma Wasti, Manav Bhattarai, Purna Bahadur Chhetri",South Asia,Nepal,Agriculture and Food,,22.7,Active,,2019,2023
P166709,Public Programs and Expenditure Review in the Agricultural Sector in Kazakhstan,Public Support for Agriculture,Talimjan Urazov,Europe And Central Asia,Kazakhstan,Agriculture and Food,,null,Closed,,2019,
P164520,Sustainable Agricultural Intensification and Food Security Project,SAIP (RW-Sustainable Agricultural Intens,Winston Dawes,Africa,Rwanda,Agriculture and Food,,26.3,Active,,2019,2024
P154362,Improving Statistics for Sustainable Agriculture,Improving Statistics for Sustainable Agr,Ademola Braimoh,Africa,Africa,Agriculture and Food,,null,Closed,,2019,
P163737,Paraguay Crop Risks Preparedness,Paraguay Crop Risks Preparedness,Maurizio Guadagni,Latin America And Caribbean,Paraguay,Agriculture and Food,,null,Closed,,2019,
P162187,"China’s Property Rights Arrangements, Non-Agricultural Employment",China’s Property Rights Arrangements,John T. Giles,East Asia And Pacific,China,Agriculture and Food,,null,Closed,,2019,
P153444,OGE-Operationalizing 'rai',OGE-Operationalizing 'rai',Christopher Ian Brett,Other,World,Agriculture and Food,,null,Closed,,2019,
P163923,Adolescent Nutrition-Sensitive Agriculture Pilot Project,Nutrition Sensitive Agriculture Pilot,"Blessings Nyanjagha Botha, Ziauddin Hyder",Africa,Malawi,Agriculture and Food,,2.73,Active,,2019,2022
P162888,OGE-Strengthening Decentralized Climate Risk Preparedness and Response in Kenya,OGE-Bolstering Climate Resilience-Kenya,"Stephen Paul D'Alessandro, Ladisy Komba Chengula",Africa,Kenya,Agriculture and Food,,null,Closed,,2019,
P164326,Guinea Integrated Agricultural Development Project (PDAIG),GN - Integrated Agricultural Development,Mariama Altine Mahamane,Africa,Guinea,Agriculture and Food,,40,Active,,2019,2023
P164052,Mali Drylands Development Project,Mali Drylands Development Project,"Amadou Ba, Benedicte Leroy De La Briere",Africa,Mali,Agriculture and Food,,60,Active,,2019,2024
P164467,Odisha Craft Skills Development and Rural Development,UTKARSH,Vinayak Narayan Ghatate,South Asia,India,Agriculture and Food,,null,Closed,,2018,
P166049,Measuring Labor Productivity in Agriculture,OGE-Measuring Labor Productivity-Agric.,Madhur Gautam,Other,World,Agriculture and Food,,null,Closed,,2018,
P165015,Afghanistan Agribusiness Charter,Afghanistan Agribusiness Charter,"Chakib Jenane, Vaanii O. Baker",South Asia,Afghanistan,Agriculture and Food,,null,Closed,,2018,
P164431,Smallholder Irrigated Agriculture and Market Access Project- IRRIGA  1,Mozambique IRRIGA 1,Aniceto Timoteo Bila,Africa,Mozambique,Agriculture and Food,,55,Active,,2018,2025
P162998,Increasing Climate Smart Agricultural Productivity in Northern Cameroon,Increasing CSA Productivity in N CMR,"Irina Schuman, Juan David Casanova Anoll, Ghada Elabed",Africa,Cameroon,Agriculture and Food,,null,Closed,,2018,
P161932,"Agricultural sector Review for Competitiveness, Diversification and Growth",Agriculture Sector Review for in Guinea,Abdoulaye Toure,Africa,Guinea,Agriculture and Food,,null,Closed,,2018,
P161523,Support to the Implementation of Sri Lanka's Nationally Determined Contributions,NDC Implementation in Sri Lanka,"Omar Lyasse, Suranga Sooriya Kumara Kahandawa",South Asia,Sri Lanka,Agriculture and Food,,null,Closed,,2018,
P161066,,Improved Response to El Nino in Uganda,"Kevin John Crockford, Asa Margareta G. Hoglund Giertz",Africa,Uganda,Agriculture and Food,,null,Closed,,2018,
P158578,BF- Study on Agro-processing Opportunities,BF- Study on Agro-process Opportunities,Nicolas Ahouissoussi,Africa,Burkina Faso,Agriculture and Food,,null,Closed,,2018,
P163054,OGE-Male outmigration and the consequences on women's empowerment,OGE-Male outmigration & women's emp-ment,Anuja Kar,Other,World,Agriculture and Food,,null,Closed,,2018,
P162729,Gambia-Strategic Program for Climate Resilience,Gambia PPCR,Aifa Fatimata Ndoye Niane,Africa,"Gambia, The",Agriculture and Food,,null,Closed,,2018,
P162185,Productive Diversification in African Agriculture and Effects on Resilience and Nutrition,Productive Diversification in African Ag,"Holger A. Kray, Christine Heumesser",Africa,Africa,Agriculture and Food,,null,Closed,,2018,
P161007,Closing the Potential-Performance Divide in Ugandan Agriculture,Agriculture Potential-Performance Divide,"Holger A. Kray, Kevin John Crockford",Africa,Uganda,Agriculture and Food,,null,Closed,,2018,
P166273,CO Agriculture Strategic Directions ASA,CO Agriculture Strategic Directions ASA,"Michael Morris, Luz Berania Diaz Rios",Latin America And Caribbean,Colombia,Agriculture and Food,,null,Closed,,2018,
P164567,Scaling up Smallholder Inclusion in Value Chains (Phase 2),Smallholder Inclusion in Value Chains,"Irina Schuman, Ghada Elabed",Africa,Madagascar,Agriculture and Food,,null,Closed,,2018,
P164195,Comoros - Agricultural Value Chains and Food Security,Agriculture Sector Review,Ashesh Prasann,Africa,Comoros,Agriculture and Food,,null,Closed,,2018,
P164097,Agriculture for economic growth and food security,Agriculture for growth and food security,Diego Arias Carballo,Africa,Central African Republic,Agriculture and Food,,null,Closed,,2018,
